latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.6485,9.17185,315.41,0.38,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,279.29,0.96,N
31.66237,6.06136,335.85,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,283.07,3.41,N
31.66298,6.05688,348.75,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,284.93,3.41,N
31.6636,6.05241,342.7,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,285.0,2.3,N
31.66368,6.06394,307.26,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,281.35,1.0,N
31.66421,6.04793,309.08,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,279.43,2.3,N
31.66428,6.05946,334.25,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,283.42,2.94,N
31.66487,6.05497,327.99,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,283.07,2.94,N
31.66547,6.05049,337.63,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,283.23,3.56,N
31.66644,6.05755,308.62,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,282.41,3.41,N
31.66767,6.04859,300.43,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.39,2.3,N
31.6861,6.187,297.2,0.42,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,277.9,0.65,N
31.68989,5.80672,299.72,0.44,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,278.48,0.52,N
31.70513,9.24251,297.14,0.39,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,277.81,0.61,N
31.70584,5.96105,322.36,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,279.52,1.15,N
31.75209,5.22738,329.61,0.46,0.39,2023-12-07,113,1,VIIRS,n,2.0NRT,281.91,3.02,N
31.78645,6.06189,297.84,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.27,1.43,N
31.78932,6.06703,327.17,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.63,1.84,N
31.79806,6.05484,296.26,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.34,0.78,N
31.80589,5.99619,307.45,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,281.32,0.9,N
31.84846,6.05035,313.68,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.58,1.6,N
31.84907,6.04584,305.31,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.62,1.37,N
31.9453,5.00081,302.73,0.47,0.4,2023-12-07,113,1,VIIRS,n,2.0NRT,278.91,0.99,N
31.95392,11.14283,301.2,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,279.1,0.79,N
